SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,SchoolName,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities
2019-20,District,King,17210,Federal Way School District,District Total,12th Grade,1873,958,1,914,17,244,265,503,107,195,542,228,0,169,66,1063,3,13,118,73,278,1645,1865,1704,1807,810,1870,1860,1755,1800,1595
2019-20,District,Whatcom,37502,Ferndale School District,District Total,12th Grade,391,202,0,189,27,13,5,70,0,24,252,16,0,169,7,160,6,2,26,29,61,375,390,222,384,231,385,389,365,362,330
2019-20,District,Pierce,27417,Fife School District,District Total,12th Grade,285,146,0,139,1,29,13,49,12,35,146,27,0,23,9,120,0,0,9,12,33,258,283,262,276,165,285,285,276,273,252
2019-20,District,Benton,3053,Finley School District,District Total,12th Grade,85,36,0,49,2,1,4,29,0,0,49,5,0,4,4,63,3,1,6,0,12,80,85,81,81,22,82,84,79,85,73
2019-20,District,Pierce,27402,Franklin Pierce School District,District Total,12th Grade,512,255,1,256,7,40,54,147,27,68,169,34,0,193,34,358,0,11,21,19,62,478,506,319,478,154,512,501,491,493,450
2019-20,District,Spokane,32358,Freeman School District,District Total,12th Grade,73,31,0,42,0,1,1,3,0,1,67,0,0,0,2,16,0,0,2,6,12,73,73,73,71,57,73,73,71,67,61
2019-20,District,Whitman,38302,Garfield School District,District Total,12th Grade,8,5,0,3,0,0,0,1,0,0,7,0,0,0,0,3,0,0,1,2,1,8,8,8,8,5,8,8,7,6,7
2019-20,District,Klickitat,20401,Glenwood School District,District Total,12th Grade,8,6,0,2,0,0,0,0,0,2,6,0,0,0,1,4,0,0,1,0,0,8,8,8,7,4,8,8,7,8,8
2019-20,District,Klickitat,20404,Goldendale School District,District Total,12th Grade,69,35,0,34,6,0,0,11,0,3,49,2,0,2,0,34,6,0,3,10,10,67,68,67,69,35,63,69,66,59,59
2019-20,District,Grant,13301,Grand Coulee Dam School District,District Total,12th Grade,61,29,0,32,27,0,0,9,0,8,17,5,0,4,1,45,9,0,7,1,8,56,61,57,60,16,52,61,54,60,53
2019-20,District,Yakima,39200,Grandview School District,District Total,12th Grade,276,140,0,136,0,0,0,255,0,0,21,76,0,0,21,222,36,2,6,4,39,200,276,276,255,54,240,274,270,272,237
2019-20,District,Yakima,39204,Granger School District,District Total,12th Grade,97,50,0,47,7,0,0,87,0,0,3,22,0,0,11,83,19,0,4,1,16,75,95,97,86,14,78,97,93,96,81
2019-20,District,Snohomish,31332,Granite Falls School District,District Total,12th Grade,260,125,0,135,8,2,5,27,1,16,201,7,0,11,65,123,0,3,12,13,44,253,259,249,195,137,260,257,248,247,216
2019-20,District,Lincoln,22204,Harrington School District,District Total,12th Grade,3,2,0,1,0,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,1,3,3,3,2,0,3,3,3,3,2
2019-20,District,Yakima,39203,Highland School District,District Total,12th Grade,89,43,0,46,0,0,0,68,0,2,19,15,0,9,5,70,13,1,3,3,8,74,89,80,84,19,76,88,86,86,81
2019-20,District,King,17401,Highline School District,District Total,12th Grade,1976,920,2,1054,24,329,293,757,67,91,415,372,0,62,118,1182,3,1,166,0,282,1604,1968,1914,1858,794,1973,1975,1810,1976,1694
2019-20,District,Clark,6098,Hockinson School District,District Total,12th Grade,178,85,0,93,1,5,1,8,0,5,158,0,0,32,0,23,0,1,7,10,10,178,178,146,178,155,178,177,171,168,168
2019-20,District,Grays Harbor,14028,Hoquiam School District,District Total,12th Grade,133,60,0,73,4,4,2,20,1,6,96,3,0,2,21,90,6,1,10,4,29,130,130,131,112,43,127,132,123,129,104
2019-20,District,Ferry,10070,Inchelium School District,District Total,12th Grade,16,12,0,4,13,0,0,0,0,2,1,4,0,0,0,9,0,0,1,0,2,12,16,16,16,7,16,16,15,16,14
2019-20,District,King,17411,Issaquah School District,District Total,12th Grade,1562,785,0,777,1,426,28,131,7,77,892,43,0,45,12,127,1,11,33,203,148,1519,1559,1517,1550,1435,1561,1551,1529,1359,1414
2019-20,District,Franklin,11056,Kahlotus School District,District Total,12th Grade,5,5,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,1,0,0,5,5,5,5,2,5,5,4,5,5
2019-20,District,Cowlitz,8402,Kalama School District,District Total,12th Grade,87,35,0,52,1,1,2,6,0,3,74,0,0,0,4,36,0,0,5,6,15,87,87,87,83,51,87,87,82,81,72
2019-20,District,Cowlitz,8458,Kelso School District,District Total,12th Grade,426,204,0,222,12,4,1,60,4,31,314,24,0,38,28,199,1,1,22,22,47,402,424,388,398,227,425,425,404,404,379
2019-20,District,Benton,3017,Kennewick School District,District Total,12th Grade,1444,677,1,766,14,32,37,534,5,59,763,114,0,0,45,771,218,3,101,41,155,1330,1437,1444,1399,673,1226,1441,1343,1403,1289
2019-20,District,King,17415,Kent School District,District Total,12th Grade,2171,1038,0,1133,16,439,298,457,50,166,745,250,0,23,35,1017,5,2,199,126,223,1921,2165,2148,2136,1154,2166,2169,1972,2045,1948
2019-20,District,Stevens,33212,Kettle Falls School District,District Total,12th Grade,107,56,0,51,6,3,1,11,0,6,80,1,0,9,6,53,0,3,16,3,12,106,104,98,101,54,107,104,91,104,95
2019-20,District,Benton,3052,Kiona-Benton City School District,District Total,12th Grade,96,44,1,51,0,0,0,34,0,0,62,13,0,0,2,47,14,0,7,5,9,83,95,96,94,49,82,96,89,91,87
2019-20,District,Kittitas,19403,Kittitas School District,District Total,12th Grade,62,30,0,32,0,1,0,13,0,1,47,3,0,0,6,30,1,0,0,0,6,59,62,62,56,32,61,62,62,62,56
2019-20,District,Klickitat,20402,Klickitat School District,District Total,12th Grade,7,4,0,3,0,0,0,0,0,2,5,0,0,0,0,2,0,0,0,0,2,7,7,7,7,5,7,7,7,7,5
2019-20,District,Clark,6101,La Center School District,District Total,12th Grade,139,72,0,67,1,2,0,7,0,3,126,2,0,0,2,27,0,1,12,14,12,137,139,139,137,112,139,138,127,125,127
2019-20,District,Skagit,29311,La Conner School District,District Total,12th Grade,39,19,0,20,7,2,0,9,0,4,17,4,0,4,1,17,7,1,4,3,4,35,39,35,38,22,32,38,35,36,35
2019-20,District,Whitman,38126,LaCrosse School District,District Total,12th Grade,5,3,0,2,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,5,5,5,5
2019-20,District,Chelan,4129,Lake Chelan School District,District Total,12th Grade,131,57,0,74,0,2,1,58,0,1,69,20,0,0,5,69,11,1,3,9,13,111,130,131,126,62,120,130,128,122,118
2019-20,District,Grays Harbor,14097,Lake Quinault School District,District Total,12th Grade,13,6,0,7,5,0,0,2,0,1,5,1,0,1,5,13,0,0,0,1,3,12,13,12,8,0,13,13,13,12,10
2019-20,District,Snohomish,31004,Lake Stevens School District,District Total,12th Grade,634,290,0,344,2,24,19,98,5,54,432,23,0,36,15,165,1,17,14,62,114,611,633,598,619,469,633,617,620,572,520
2019-20,District,King,17937,Lake Washington Institute of Technology,District Total,12th Grade,733,322,1,410,5,58,42,128,4,28,468,0,0,0,2,0,0,13,50,0,0,733,729,733,731,733,733,720,683,733,733
2019-20,District,King,17414,Lake Washington School District,District Total,12th Grade,2138,1017,0,1121,0,455,39,219,0,178,1247,44,0,83,5,229,0,4,63,219,147,2094,2136,2055,2133,1909,2138,2134,2075,1919,1991
2019-20,District,Snohomish,31306,Lakewood School District,District Total,12th Grade,197,98,0,99,1,6,1,33,1,20,135,4,0,12,5,49,0,2,9,19,25,193,197,185,192,148,197,195,188,178,172
2019-20,District,Spokane,32362,Liberty School District,District Total,12th Grade,31,13,0,18,0,0,0,0,0,0,31,0,0,0,0,9,0,0,3,2,4,31,31,31,31,22,31,31,28,29,27
2019-20,District,Adams,1158,Lind School District,District Total,12th Grade,9,7,0,2,0,0,0,4,0,1,4,0,0,0,4,7,0,0,1,1,0,9,9,9,5,2,9,9,8,8,9
2019-20,District,Cowlitz,8122,Longview School District,District Total,12th Grade,471,249,0,222,5,11,3,93,3,35,321,21,0,44,20,253,3,1,20,14,69,450,467,427,451,218,468,470,451,457,402
2019-20,District,San Juan,28144,Lopez School District,District Total,12th Grade,11,5,0,6,0,1,0,0,0,1,9,0,0,0,1,2,0,0,0,3,1,11,11,11,10,9,11,11,11,8,10
2019-20,District,Whatcom,37903,Lummi Tribal Agency,District Total,12th Grade,26,9,0,17,23,0,0,2,0,1,0,0,0,0,0,24,1,0,3,0,10,26,26,26,26,2,25,26,23,26,16
2019-20,District,Klickitat,20406,Lyle School District,District Total,12th Grade,22,14,0,8,2,0,0,7,0,1,12,3,0,0,4,18,1,0,2,0,1,19,21,22,18,4,21,22,20,22,21
2019-20,District,Whatcom,37504,Lynden School District,District Total,12th Grade,247,123,0,124,1,7,3,56,0,18,162,16,0,4,2,81,3,0,9,14,36,231,247,243,245,166,244,247,238,233,211
2019-20,District,Yakima,39120,Mabton School District,District Total,12th Grade,57,33,0,24,0,0,0,56,0,0,1,24,0,0,7,56,23,0,0,1,8,33,57,57,50,1,34,57,57,56,49
2019-20,District,Douglas,9207,Mansfield School District,District Total,12th Grade,10,3,0,7,0,1,0,1,0,1,7,0,0,0,0,6,0,0,0,0,2,10,10,10,10,4,10,10,10,10,8
2019-20,District,Chelan,4019,Manson School District,District Total,12th Grade,47,18,0,29,1,0,0,33,0,0,13,2,0,0,2,36,4,0,2,2,4,45,47,47,45,11,43,47,45,45,43
2019-20,District,Mason,23311,Mary M Knight School District,District Total,12th Grade,61,33,0,28,0,1,1,5,3,4,47,0,0,0,1,19,0,0,12,9,5,61,61,61,60,42,61,61,49,52,56
2019-20,District,Stevens,33207,Mary Walker School District,District Total,12th Grade,51,22,0,29,3,2,0,5,0,4,37,2,0,4,6,30,0,0,5,1,9,49,50,47,45,21,51,51,46,50,42
2019-20,District,Snohomish,31025,Marysville School District,District Total,12th Grade,829,399,4,426,44,48,14,192,6,78,447,60,0,63,47,364,15,8,68,36,111,769,826,766,782,465,814,821,761,793,718
2019-20,District,Spokane,32354,Mead School District,District Total,12th Grade,957,474,0,483,7,19,10,69,12,70,770,33,0,92,39,266,1,14,24,19,125,924,948,865,918,691,956,943,933,938,832
2019-20,District,Spokane,32326,Medical Lake School District,District Total,12th Grade,129,61,0,68,1,0,5,15,0,11,97,1,0,4,3,47,0,17,2,7,16,128,128,125,126,82,129,112,127,122,113
2019-20,District,King,17400,Mercer Island School District,District Total,12th Grade,373,172,2,199,1,76,2,17,1,33,243,3,0,79,0,18,0,0,4,60,53,370,372,294,373,355,373,373,369,313,320
2019-20,District,Whatcom,37505,Meridian School District,District Total,12th Grade,130,57,0,73,2,12,1,24,0,6,85,6,0,9,2,40,2,0,10,13,9,124,130,121,128,90,128,130,120,117,121
2019-20,District,Okanogan,24350,Methow Valley School District,District Total,12th Grade,45,25,0,20,0,0,0,3,0,2,40,1,0,0,1,15,0,0,3,3,4,44,45,45,44,30,45,45,42,42,41
2019-20,District,Skamania,30031,Mill A School District,District Total,12th Grade,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1
